,Local,Área plantada (Hectares),Área colhida (Hectares),Quantidade produzida (Toneladas),Rendimento médio da produção (Quilogramas por Hectare),Valor da produção (Mil Reais)
355,Guarapuava,662793.0,657608.0,..,..,5987775.0
356,Campina do Simão,16849.0,16749.0,..,..,153777.0
357,Candói,81343.0,81013.0,..,..,824995.0
358,Cantagalo,26170.0,26170.0,..,..,217015.0
359,Espigão Alto do Iguaçu,14673.0,14417.0,..,..,113776.0
360,Foz do Jordão,19995.0,19965.0,..,..,183346.0
361,Goioxim,31823.0,31823.0,..,..,292657.0
362,Guarapuava,169542.0,169522.0,..,..,1602999.0
363,Inácio Martins,5875.0,5875.0,..,..,52164.0
364,Laranjeiras do Sul,31756.0,31327.0,..,..,254179.0
365,Marquinho,9655.0,9574.0,..,..,63648.0
366,Nova Laranjeiras,17366.0,17124.0,..,..,131362.0
367,Pinhão,70300.0,70300.0,..,..,722048.0
368,Porto Barreiro,17833.0,17582.0,..,..,135867.0
369,Quedas do Iguaçu,36862.0,36161.0,..,..,288032.0
370,Reserva do Iguaçu,30095.0,30095.0,..,..,297108.0
371,Rio Bonito do Iguaçu,44775.0,42466.0,..,..,321646.0
372,Turvo,22906.0,22706.0,..,..,212063.0
373,Virmond,14975.0,14739.0,..,..,121106.0
374,Palmas,231890.0,231460.0,..,..,2076168.0
375,Clevelândia,69026.0,69026.0,..,..,592914.0
376,Coronel Domingos Soares,19777.0,19747.0,..,..,203853.0
377,Honório Serpa,28858.0,28858.0,..,..,259751.0
378,Mangueirinha,76097.0,75697.0,..,..,644606.0
379,Palmas,38132.0,38132.0,..,..,375047.0
380,Sudeste Paranaense,686341.0,685664.0,..,..,6421780.0
381,Prudentópolis,333854.0,333186.0,..,..,2995828.0
382,Fernandes Pinheiro,27330.0,27326.0,..,..,249801.0
383,Guamiranga,16055.0,16055.0,..,..,181123.0
384,Imbituva,49350.0,49336.0,..,..,499490.0
385,Ipiranga,50843.0,50843.0,..,..,321661.0
386,Ivaí,34761.0,34761.0,..,..,283185.0
387,Prudentópolis,90958.0,90308.0,..,..,809572.0
388,Teixeira Soares,64557.0,64557.0,..,..,650996.0
389,Irati,172842.0,172833.0,..,..,1759350.0
390,Irati,74117.0,74108.0,..,..,740275.0
391,Mallet,24842.0,24842.0,..,..,235288.0
392,Rebouças,38915.0,38915.0,..,..,387377.0
393,Rio Azul,34968.0,34968.0,..,..,396414.0
394,União da Vitória,86770.0,86770.0,..,..,695529.0
395,Bituruna,7311.0,7311.0,..,..,49597.0
396,Cruz Machado,21347.0,21347.0,..,..,133224.0
397,General Carneiro,4284.0,4284.0,..,..,30543.0
398,Paula Freitas,22688.0,22688.0,..,..,215334.0
399,Paulo Frontin,22887.0,22887.0,..,..,205493.0
400,Porto Vitória,2020.0,2020.0,..,..,15075.0
401,União da Vitória,6233.0,6233.0,..,..,46262.0
402,São Mateus do Sul,92875.0,92875.0,..,..,971075.0
403,Antônio Olinto,17793.0,17793.0,..,..,159226.0
404,São João do Triunfo,20669.0,20669.0,..,..,299086.0
405,São Mateus do Sul,54413.0,54413.0,..,..,512766.0
406,Metropolitana de Curitiba,328566.0,327863.0,..,..,3681025.0
407,Cerro Azul,26384.0,25681.0,..,..,288990.0
408,Adrianópolis,2665.0,2665.0,..,..,26070.0
409,Cerro Azul,16590.0,15887.0,..,..,219352.0
410,Doutor Ulysses,7129.0,7129.0,..,..,43568.0
411,Lapa,87632.0,87632.0,..,..,897849.0
412,Lapa,77589.0,77589.0,..,..,844918.0
413,Porto Amazonas,10043.0,10043.0,..,..,52935.0
414,Curitiba,131089.0,131089.0,..,..,1537140.0
415,Almirante Tamandaré,2464.0,2464.0,..,..,30362.0
416,Araucária,30537.0,30537.0,..,..,359634.0
417,Balsa Nova,21449.0,21449.0,..,..,213068.0
418,Bocaiúva do Sul,1413.0,1413.0,..,..,15773.0
419,Campina Grande do Sul,1033.0,1033.0,..,..,10669.0
420,Campo Largo,19381.0,19381.0,..,..,222568.0
421,Campo Magro,8190.0,8190.0,..,..,91934.0
422,Colombo,278.0,278.0,..,..,7113.0
423,Contenda,27285.0,27285.0,..,..,363250.0
424,Curitiba,118.0,118.0,..,..,1276.0
425,Fazenda Rio Grande,2527.0,2527.0,..,..,25100.0
426,Itaperuçu,3645.0,3645.0,..,..,37999.0
427,Mandirituba,4116.0,4116.0,..,..,53415.0
428,Pinhais,40.0,40.0,..,..,390.0
429,Piraquara,879.0,879.0,..,..,8244.0
430,Quatro Barras,420.0,420.0,..,..,3067.0
431,Rio Branco do Sul,1802.0,1802.0,..,..,17686.0
432,São José dos Pinhais,5066.0,5066.0,..,..,70922.0
